Name,Age,Nationality,Fifa Score,Club,Value,Salary,Continent
L. Croll,22,England,58,Exeter City,€170K,€2K,
A. Bakayoko,19,France,58,FC Sochaux-Montbéliard,€270K,€5K,EU'
O. Bertel,20,Colombia,58,CD Los Millionarios Bogota,€160K,€1K,SA'
T. Guidara,21,Argentina,58,Belgrano de Córdoba,€180K,€1K,SA'
L. Montipó,21,Italy,58,Novara,€160K,€1K,EU'
O. Escalante,26,Colombia,58,Tigres FC,€130K,€1K,SA'
M. Kitching,21,England,58,Rochdale,€170K,€1K,
L. Ndukwu,18,England,58,Leicester City,€260K,€5K,
E. Montaño,27,Colombia,58,Tigres FC,€120K,€1K,SA'
L. Grill,18,Germany,58,1. FC Kaiserslautern,€210K,€1K,EU'
O. Hawsawi,24,Saudi Arabia,58,Ohod Club,€130K,€2K,AS'
G. Jobava,21,Georgia,58,AJ Auxerre,€190K,€1K,AS'
M. Firenze,24,Italy,58,Vercelli,€170K,€2K,EU'
G. Middleton,17,Scotland,58,Norwich City,€280K,€3K,
J. Triest,20,Belgium,58,Sporting Lokeren,€210K,€2K,EU'
F. Ibargüen,23,Colombia,58,Águilas Doradas,€160K,€1K,SA'
H. Asmelash,18,Netherlands,58,ADO Den Haag,€230K,€1K,EU'
M. Beneddine,21,France,58,AS Monaco,€200K,€3K,EU'
T. Svendsen,17,Norway,58,Molde FK,€250K,€1K,EU'
M. Payero,18,Argentina,58,Banfield,€260K,€1K,SA'
F. Bonansea,19,Argentina,58,Belgrano de Córdoba,€190K,€1K,SA'
J. Al Shammari,25,Saudi Arabia,58,Al Batin,€140K,€2K,AS'
G. Weissbeck,20,France,58,RC Strasbourg,€230K,€3K,EU'
T. Castella,24,Switzerland,58,FC Lausanne-Sports,€130K,€1K,EU'
G. Cros,22,France,58,FC Carl Zeiss Jena,€160K,€1K,EU'
F. Rossi,26,Italy,58,Atalanta,€120K,€3K,EU'
J. Gies,22,Germany,58,SV Meppen,€130K,€1K,EU'
P. Płacheta,19,Poland,58,SG Sonnenhof Großaspach,€270K,€1K,EU'
N. Townsend,22,England,58,Barnsley,€150K,€1K,
J. McGrath,20,Republic of Ireland,58,Dundalk,€280K,€1K,
A. Kecskés,21,Hungary,58,Termalica Bruk-Bet Nieciecza,€160K,€1K,EU'
D. Webster,27,Republic of Ireland,58,Shamrock Rovers,€120K,€1K,
R. Martinsen,21,Norway,58,Viking FK,€150K,€1K,EU'
J. McDonnell,23,England,58,AFC Wimbledon,€150K,€1K,
T. Duman,19,Germany,58,Fortuna Düsseldorf,€240K,€2K,EU'
S. Antonijevic,28,United States,58,Lillestrøm SK,€100K,€1K,
D. Lovren,18,Croatia,58,Fortuna Düsseldorf,€260K,€2K,EU'
R. Williams,32,England,58,Cork City,€70K,€1K,
L. Rodríguez,22,Colombia,58,Envigado FC,€150K,€1K,SA'
M. Kremer,27,Germany,58,SV Meppen,€140K,€1K,EU'
E. Louro,21,United States,58,New York Red Bulls,€130K,€1K,
S. Alexandersson,24,Sweden,58,AFC Eskilstuna,€170K,€1K,EU'
C. Howe,23,England,58,Lincoln City,€140K,€2K,
C. McAleer,23,Northern Ireland,58,Finn Harps,€170K,€1K,
P. Posipal,29,Germany,58,SV Meppen,€100K,€1K,EU'
K. Goba,29,France,58,La Berrichonne de Châteauroux,€130K,€1K,EU'
Y. Al Sawasan,27,Saudi Arabia,58,Al Batin,€100K,€2K,AS'
J. Al Dhafeeri,24,Saudi Arabia,58,Al Batin,€140K,€2K,AS'
C. Kouamé,19,Ivory Coast,58,Cittadella,€280K,€1K,
Gabriel Rodrigues,21,Brazil,58,Ventforet Kofu,€180K,€1K,SA'
J. Roberts,21,England,58,Oxford United,€280K,€2K,
J. Lunney,19,Republic of Ireland,58,St. Patrick's Athletic,€270K,€1K,
R. Miller,28,England,58,Peterborough United,€130K,€2K,
J. Maddox,18,England,58,Chelsea,€260K,€7K,
A. Caci,20,France,58,RC Strasbourg,€220K,€3K,EU'
B. Kavlak,20,Turkey,58,Evkur Yeni Malatyaspor,€190K,€2K,AS'
C. O'Connor,20,Republic of Ireland,58,Bohemian FC,€210K,€1K,
D. Reiter,19,Austria,58,LASK Linz,€280K,€2K,EU'
P. Brough,21,England,58,Morecambe,€140K,€1K,
A. Fernandes,28,India,58,,€0,€0.00,AS'
Gorka Giralt,21,Spain,58,Real Oviedo,€160K,€1K,EU'
J. Smith,30,England,58,Stevenage,€120K,€2K,
D. Engström,26,Sweden,58,BK Häcken,€130K,€1K,EU'
M. Drga,22,Austria,58,SV Mattersburg,€190K,€3K,EU'
R. Blair,21,Scotland,58,Swansea City,€220K,€6K,
I. Sangaré,23,Ivory Coast,58,AJ Auxerre,€180K,€1K,
M. Safonov,18,Russia,58,FC Krasnodar,€210K,€2K,
C. Velásquez,31,Argentina,58,Jaguares Fútbol Club,€110K,€1K,SA'
M. Peano,18,Argentina,58,Unión de Santa Fe,€210K,€1K,SA'
D. Pietrzkiewicz,29,Poland,58,Sandecja Nowy Sącz,€100K,€1K,EU'
J. Debayo,20,Nigeria,58,Leicester City,€160K,€6K,AF'
Y. Andzouana,20,DR Congo,58,Girona CF,€230K,€3K,
H. Bandé,18,Burkina Faso,58,KV Mechelen,€260K,€2K,AF'
H. Narzary,23,India,58,,€0,€0.00,AS'
T. Pasher,23,Canada,58,Sporting Kansas City,€170K,€1K,NA'
G. Jozinović,26,Croatia,58,FC Lugano,€120K,€1K,EU'
M. Schlegel,20,Germany,58,FC Carl Zeiss Jena,€210K,€1K,EU'
S. Longstaff,19,England,58,Blackpool,€270K,€5K,
J. Pupe,20,Belgium,58,KV Kortrijk,€170K,€2K,EU'
C. Crespo,19,Mexico,58,Club Tijuana,€200K,€2K,NA'
B. Koglin,20,Germany,58,FC St. Pauli,€220K,€2K,EU'
S. Tomisawa,34,Japan,58,Albirex Niigata,€40K,€1K,AS'
Asier,19,Spain,58,CD Lugo,€170K,€1K,EU'
T. Scheffel,22,Germany,58,Chemnitzer FC,€140K,€1K,EU'
A. Brorsson,18,Sweden,58,Örebro SK,€180K,€1K,EU'
A. Chapman,27,England,58,Accrington Stanley,€100K,€1K,
A. Piller,23,Germany,58,SpVgg Unterhaching,€170K,€1K,EU'
A. Penny,20,Wales,58,Peterborough United,€200K,€1K,
A. Marchesano,26,Switzerland,58,FC Zürich,€160K,€2K,EU'
D. Arzani,18,Australia,58,Melbourne City,€260K,€1K,OC'
L. Schubert,28,Austria,58,Derry City,€130K,€1K,EU'
M. Šarkić,19,Montenegro,58,Wigan Athletic,€230K,€2K,EU'
R. Delaney,20,Republic of Ireland,58,Cork City,€190K,€1K,
L. Woolfenden,18,England,58,Ipswich Town,€180K,€1K,
P. Sussek,17,Germany,58,FC Ingolstadt 04,€250K,€2K,EU'
M. Medina,20,Colombia,58,Patriotas Boyacá FC,€150K,€1K,SA'
T. Stewart,30,Northern Ireland,58,Dundalk,€120K,€1K,
D. Telford,20,England,58,Bristol Rovers,€230K,€7K,
V. Lux,28,Kyrgyzstan,58,SpVgg Unterhaching,€130K,€1K,
S. Aliev,18,Russia,58,FC Anzhi Makhachkala,€260K,€2K,
D. Clarke,24,Republic of Ireland,58,Limerick FC,€170K,€1K,
A. Sharipov,24,Russia,58,Rubin Kazan,€170K,€5K,
F. Forni,18,Italy,58,Cremonese,€240K,€1K,EU'
A. Hughes,25,Wales,58,Peterborough United,€140K,€2K,
L. Kjemhus,23,Norway,58,Sogndal,€190K,€1K,EU'
F. Mac Allister,21,Argentina,58,Argentinos Juniors,€200K,€2K,SA'
N. Giménez,20,Argentina,58,Rosario Central,€220K,€2K,SA'
J. Angulo,19,Mexico,58,Santos Laguna,€160K,€2K,NA'
C. Kerr,21,Scotland,58,Dundee FC,€190K,€1K,
D. Agazzi,24,Italy,58,Foggia,€170K,€1K,EU'
T. Wiesner,20,Germany,58,Fortuna Düsseldorf,€230K,€2K,EU'
T. Schützenauer,20,Austria,58,SK Sturm Graz,€140K,€2K,EU'
K. Ogawa,19,Japan,58,Júbilo Iwata,€280K,€1K,AS'
Raul Asencio,19,Spain,58,Avellino,€240K,€3K,EU'
S. Khadda,25,France,58,La Berrichonne de Châteauroux,€160K,€1K,EU'
T. Shimakawa,27,Japan,58,Ventforet Kofu,€120K,€1K,AS'
A. Barry,24,Republic of Ireland,58,Derry City,€140K,€1K,
A. Al Megbas,21,Saudi Arabia,58,Al Shabab,€210K,€4K,AS'
M. Ruiz Díaz,20,Argentina,58,Estudiantes de La Plata,€190K,€2K,SA'
B. Irie-Bi,24,Ivory Coast,58,US Quevilly-Rouen,€140K,€1K,
M. Mølvadgaard,17,Denmark,58,Randers FC,€250K,€1K,EU'
J. Torres,20,Argentina,58,Newell's Old Boys,€220K,€2K,SA'
F. Herzenbruch,24,Germany,58,SC Paderborn 07,€140K,€1K,EU'
A. Torres,21,Mexico,58,Guadalajara,€170K,€4K,NA'
L. Daschner,18,Germany,58,MSV Duisburg,€260K,€1K,EU'
J. Hou Sæter,19,Norway,58,Stabæk Fotball,€270K,€1K,EU'
M. Zeroual,18,Belgium,58,KV Mechelen,€260K,€1K,EU'
M. Baku,19,Germany,58,SG Sonnenhof Großaspach,€270K,€1K,EU'
M. Dimun,20,Slovakia,58,Cracovia,€250K,€1K,
J. Villarreal,22,United States,58,LA Galaxy,€180K,€1K,
J. Valoyes,30,Colombia,58,Corporación Club Deportivo Tuluá,€90K,€1K,SA'
A. Wheeler-Omiunu,22,United States,58,Atlanta United FC,€190K,€1K,
A. Knezovic,24,Croatia,58,Kristiansund BK,€130K,€1K,EU'
S. Wimmer,23,Austria,58,SC Paderborn 07,€160K,€1K,EU'
S. Bonecki,22,Poland,58,Zagłębie Lubin,€150K,€1K,EU'
I. Alsultanov,18,Russia,58,Terek Grozny,€240K,€2K,
N. Lüchinger,22,Switzerland,58,FC St. Gallen,€190K,€2K,EU'
Y. Mabella,21,France,58,La Berrichonne de Châteauroux,€210K,€1K,EU'
C. Riascos,23,Colombia,58,Alianza Petrolera,€150K,€1K,SA'
N. Souren,17,Netherlands,58,Roda JC Kerkrade,€230K,€1K,EU'
V. Nelsson,18,Denmark,58,FC Nordsjælland,€200K,€1K,EU'
I. Lurati,19,Switzerland,58,FC Sion,€200K,€1K,EU'
M. Meli,17,Italy,58,Fiorentina,€280K,€5K,EU'
A. Danek,22,Poland,58,Sandecja Nowy Sącz,€180K,€1K,EU'
E. Gründemann,18,Germany,58,Hansa Rostock,€210K,€1K,EU'
L. Fernández,24,Mexico,58,Tigres U.A.N.L.,€140K,€5K,NA'
J. Bonham,23,Republic of Ireland,58,Carlisle United,€140K,€4K,
G. Glendon,22,Wales,58,Fleetwood Town,€210K,€1K,
J. de Alba,22,Mexico,58,Querétaro,€160K,€1K,NA'
R. Greenidge,20,England,58,Sogndal,€190K,€1K,
K. Kadyrov,23,Russia,58,Terek Grozny,€190K,€4K,
T. Müller,19,Germany,58,Hallescher FC,€170K,€1K,EU'
W. Bianda,17,France,58,RC Lens,€230K,€1K,EU'
B. Spencer,22,United States,58,Toronto FC,€180K,€1K,
K. Le Roy,19,France,58,En Avant de Guingamp,€150K,€1K,EU'
J. Barnum-Bobb,21,England,58,Newport County,€150K,€1K,
A. Hazazi,23,Saudi Arabia,58,Ettifaq FC,€170K,€2K,AS'
R. Laryea,22,Canada,58,Orlando City Soccer Club,€170K,€1K,NA'
J. Rodon,19,Wales,58,Swansea City,€250K,€4K,
T. Yanagi,19,Japan,58,F.C. Tokyo,€240K,€1K,AS'
G. Sarris,27,Greece,58,Hamilton Academical FC,€120K,€1K,EU'
P. McLain,28,United States,58,Minnesota Thunder,€90K,€1K,
R. Kitto,22,Australia,58,Adelaide United,€190K,€1K,OC'
P. Hercher,21,Germany,58,1. FC Nürnberg,€210K,€2K,EU'
A. Mondal,27,India,58,,€0,€0.00,AS'
H. Emiroğlu,20,Turkey,58,Alanyaspor,€250K,€2K,AS'
F. Hall,32,Bermuda,58,Limerick FC,€70K,€1K,NA'
T. Dallison,21,England,58,Accrington Stanley,€180K,€4K,
K. Kuchaev,19,Russia,58,CSKA Moscow,€220K,€3K,
T. Hiraoka,21,Japan,58,F.C. Tokyo,€200K,€1K,AS'
C. Riegler,25,Austria,58,SKN St. Pölten,€120K,€2K,EU'
S. Ambri,19,France,58,Valenciennes FC,€210K,€1K,EU'
J. Romero,16,Argentina,58,Atlético Tucumán,€280K,€1K,SA'
D. Garufo,30,Italy,58,Parma,€90K,€1K,EU'
C. Lewis,20,New Zealand,58,,€0,€0.00,OC'
S. Jones,25,Wales,58,Grimsby Town,€160K,€2K,
M. Holzmann,26,Austria,58,FC Admira Wacker Mödling,€140K,€2K,EU'
H. Algeed,19,Saudi Arabia,58,Al Shabab,€240K,€3K,AS'
Dani Hernández,21,Spain,58,AD Alcorcón,€160K,€1K,EU'
M. Roffo,17,Argentina,58,Boca Juniors,€230K,€1K,SA'
O. Palmer,25,England,58,Lincoln City,€160K,€3K,
O. Holness,23,Jamaica,58,Real Salt Lake,€200K,€1K,NA'
L. Zanimacchia,18,Italy,58,Genoa,€260K,€3K,EU'
F. Malagueño,18,Argentina,58,Talleres de Cordoba,€230K,€1K,SA'
M. Spielmann,21,Switzerland,58,FC Thun,€220K,€2K,EU'
Vinicius,21,Brazil,58,Corporación Club Deportivo Tuluá,€180K,€1K,SA'
A. Power,29,Republic of Ireland,58,Kilmarnock,€120K,€1K,
R. Callachan,23,Scotland,58,Heart of Midlothian,€170K,€1K,
A. Denisov,28,Russia,58,Arsenal Tula,€100K,€4K,
V. Myhra,20,Norway,58,Odds BK,€170K,€1K,EU'
C. Rabitsch,21,Austria,58,Wolfsberger AC,€190K,€2K,EU'
L. Desmond,22,Republic of Ireland,58,St. Patrick's Athletic,€180K,€1K,
A. Bassi,19,France,58,AS Nancy Lorraine,€270K,€1K,EU'
M. Carabajal,20,Argentina,58,Arsenal de Sarandí,€170K,€1K,SA'
G. Banguera,21,Colombia,58,Atlético Huila,€160K,€1K,SA'
M. Sevimler,18,Turkey,58,Alanyaspor,€260K,€1K,AS'
A. Bifulco,20,Italy,58,Vercelli,€220K,€6K,EU'
S. Camara,24,France,58,Le Havre AC,€150K,€1K,EU'
G. Karlen,22,Switzerland,58,FC Sion,€200K,€3K,EU'
A. Mozo,20,Mexico,58,U.N.A.M.,€250K,€2K,NA'
João Victor,23,Brazil,58,LASK Linz,€180K,€2K,SA'
I. Leschuk,21,Russia,58,Dinamo Moscow,€150K,€2K,
Y. Schmid,22,Switzerland,58,FC Luzern,€180K,€1K,EU'
L. Kelly,21,Scotland,58,Rangers,€180K,€4K,
I. Touré,19,Germany,58,Werder Bremen II,€270K,€1K,EU'
M. Schwabl,26,Germany,58,Fleetwood Town,€150K,€2K,EU'
B. van Wijnen,19,Netherlands,58,PEC Zwolle,€270K,€1K,EU'
L. Grimshaw,22,England,58,Motherwell,€210K,€1K,
S. Posch,20,Austria,58,TSG 1899 Hoffenheim,€250K,€3K,EU'
M. Yilmaz,18,Germany,58,RB Leipzig,€210K,€4K,EU'
D. Jarvis,25,Northern Ireland,58,Derry City,€140K,€1K,
S. Mandash,22,Saudi Arabia,58,Al Faisaly,€200K,€3K,AS'
D. Mihailovic,18,United States,58,Chicago Fire Soccer Club,€260K,€1K,
I. Güven,23,Turkey,58,Atiker Konyaspor,€170K,€2K,AS'
M. Zacho,20,Denmark,58,Aarhus GF,€200K,€2K,EU'
Kanu,31,Brazil,58,Shimizu S-Pulse,€90K,€1K,SA'
L. Chiappero,23,Argentina,58,Defensa y Justicia,€120K,€1K,SA'
M. Procopio,20,Italy,58,Cremonese,€180K,€4K,EU'
A. Erlingmark,19,Sweden,58,IFK Göteborg,€270K,€1K,EU'
R. Turner,21,England,58,Morecambe,€180K,€1K,
C. Wakefield,19,England,58,Stevenage,€270K,€1K,
A. Egan,19,England,58,AFC Wimbledon,€220K,€1K,
N. Ennis,18,England,58,Shrewsbury,€290K,€4K,
K. Khosonov,19,Russia,58,CSKA Moscow,€170K,€3K,
S. Cleveland,23,United States,58,Chicago Fire Soccer Club,€130K,€1K,
A. Montiel,23,Argentina,58,Atlético Tucumán,€150K,€1K,SA'
L. Wasmus,20,Germany,58,Werder Bremen II,€190K,€1K,EU'
P. Webber,18,England,58,Ipswich Town,€240K,€1K,
C. Hamilton,22,England,58,Mansfield Town,€200K,€3K,
C. Bravo,20,Argentina,58,Banfield,€190K,€2K,SA'
J. Soñora,20,United States,58,VfB Stuttgart,€230K,€3K,
D. Keillor-Dunn,19,England,58,Ross County FC,€270K,€1K,
H. Barış,23,Turkey,58,Göztepe,€150K,€2K,AS'
R. Cannon,19,United States,58,FC Dallas,€240K,€1K,
B. Verbong,17,Netherlands,58,VVV-Venlo,€150K,€1K,EU'
J. Jesgarzewski,23,Germany,58,SV Meppen,€150K,€1K,EU'
I. Morris,30,Republic of Ireland,58,Bohemian FC,€90K,€1K,
J. Albert,25,Guyana,58,US Quevilly-Rouen,€150K,€1K,SA'
F. Bin Jamayah,22,Saudi Arabia,58,Al Nassr,€200K,€5K,AS'
C. Storm,22,United States,58,Sporting Kansas City,€160K,€1K,
C. Stark,19,Germany,58,Hamburger SV,€240K,€3K,EU'
S. Sørli,21,Norway,58,Kristiansund BK,€190K,€1K,EU'
M. Drawz,18,Poland,58,Hamburger SV,€230K,€3K,EU'
N. Marfelt,22,Denmark,58,Sparta Rotterdam,€170K,€2K,EU'
E. Escobar,25,Mexico,58,Lobos de la BUAP,€130K,€1K,NA'
D. Rojano,20,Colombia,58,CD Once Caldas Manizales,€180K,€1K,SA'
C. Furlong,19,England,58,Milton Keynes Dons,€240K,€1K,
F. Bay,19,Denmark,58,FC Helsingør,€240K,€1K,EU'
Pablo Cacharrón,20,Spain,58,CD Lugo,€180K,€1K,EU'
A. Georgiou,20,Cyprus,58,Tottenham Hotspur,€280K,€8K,AS'
I. Rodríguez,24,Mexico,58,Puebla,€130K,€1K,NA'
M. Melbourne,18,England,58,West Bromwich Albion,€230K,€4K,
M. Gashchenkov,25,Russia,58,Amkar Perm,€150K,€3K,
D. Tarpey,28,England,58,Barnet,€130K,€2K,
P. Kavanagh,31,Republic of Ireland,58,Bohemian FC,€110K,€1K,
M. Araai,21,France,58,AC Ajaccio,€190K,€1K,EU'
V. Baume,20,Belgium,58,Sporting Charleroi,€170K,€1K,EU'
B. Bayazit,18,Netherlands,58,Vitesse,€210K,€1K,EU'
D. Hernández,19,Mexico,58,Necaxa,€160K,€1K,NA'
M. Sissako,21,France,58,ES Troyes AC,€280K,€3K,EU'
B. Derksen,18,Netherlands,58,Roda JC Kerkrade,€140K,€1K,EU'
M. Kula,22,Turkey,58,Kasimpaşa SK,€150K,€2K,AS'
Javito,18,Spain,58,SD Huesca,€150K,€1K,EU'
Berrocal,17,Spain,58,Sevilla Atlético,€230K,€1K,EU'
F. Melivilo,25,Argentina,58,Defensa y Justicia,€160K,€2K,SA'
A. Dijksteel,20,Netherlands,58,Charlton Athletic,€250K,€1K,EU'
T. Demirtaş,23,Turkey,58,Gençlerbirliği SK,€130K,€2K,AS'
G. Brennan,29,Republic of Ireland,58,Drogheda United,€120K,€1K,
A. Wixted,22,Republic of Ireland,58,Drogheda United,€170K,€1K,
L. Coccolo,19,Italy,58,Perugia,€240K,€1K,EU'
M. Edwards,37,England,58,Notts County,€20K,€2K,
O. Øby,22,Norway,58,Kristiansund BK,€150K,€1K,EU'
J. Cisotti,24,Italy,58,La Spezia,€180K,€1K,EU'
Y. Matsushita,23,Japan,58,Vissel Kobe,€200K,€1K,AS'
T. Bolarinwa,26,England,58,Grimsby Town,€150K,€2K,
B. Thomas-Asante,18,England,58,Milton Keynes Dons,€260K,€1K,
L. Grossi,19,Italy,58,Vercelli,€250K,€1K,EU'
N. Kocik,18,France,58,Valenciennes FC,€160K,€1K,EU'
W. Wood,20,England,58,Southampton,€220K,€7K,
Y. Emghames,19,Germany,58,Hannover 96,€240K,€3K,EU'
D. Kovačić,23,Croatia,58,FC Lugano,€150K,€1K,EU'
P. Gallacher,37,Scotland,58,Heart of Midlothian,€10K,€1K,
M. Donohue,19,England,58,Fleetwood Town,€240K,€1K,
J. Fitzwater,19,England,58,Forest Green,€200K,€4K,
S. Schäppi,23,Switzerland,58,FC Lugano,€160K,€1K,EU'
E. Dabo,21,Senegal,58,Valenciennes FC,€160K,€1K,AF'
P. Krachunov,28,Bulgaria,58,Sandecja Nowy Sącz,€120K,€1K,EU'
T. Baller,18,Germany,58,Hannover 96,€260K,€3K,EU'
M. Majrashi,26,Saudi Arabia,58,Al Faisaly,€140K,€4K,AS'
M. Acton,25,Australia,58,Melbourne Victory,€120K,€1K,OC'
C. Maghoma,19,DR Congo,58,Tottenham Hotspur,€210K,€5K,
W. Trochim,28,Poland,58,Sandecja Nowy Sącz,€130K,€1K,EU'
J. Serafin,21,Poland,58,FK Haugesund,€200K,€1K,EU'
R. Ferreira,19,Paraguay,58,Temperley,€240K,€1K,SA'
D. Foran,27,Republic of Ireland,58,Bray Wanderers,€130K,€1K,
D. Kemp,18,England,58,West Ham United,€260K,€6K,
J. Padilla,18,Mexico,58,Pachuca,€260K,€3K,NA'
M. Villasanti,20,Paraguay,58,Temperley,€190K,€1K,SA'
G. Kelly,25,Republic of Ireland,58,St. Patrick's Athletic,€160K,€1K,
A. Al Shammary,21,Saudi Arabia,58,Al Batin,€220K,€4K,AS'
J. Celestine,19,France,58,Sporting Charleroi,€200K,€1K,EU'
M. Nani,19,Argentina,58,Temperley,€250K,€1K,SA'
S. Otayf,26,Saudi Arabia,58,Al Raed,€150K,€3K,AS'
E. Håland,16,Norway,58,Molde FK,€250K,€1K,EU'
H. Ndam,18,Cameroon,58,New York Red Bulls,€160K,€1K,AF'
J. Hooper,23,England,58,Grimsby Town,€190K,€2K,
D. Lodesani,22,Italy,58,Foggia,€200K,€1K,EU'
B. Biabi,21,Scotland,58,Hamilton Academical FC,€280K,€7K,
C. Mepham,19,Wales,58,Brentford,€250K,€3K,
T. Marijnissen,18,Netherlands,58,NAC Breda,€260K,€1K,EU'
Yoo Han Sol,19,Korea Republic,58,Suwon Samsung Bluewings,€180K,€1K,
E. Bostancı,21,Netherlands,58,Willem II,€200K,€1K,EU'
A. Muskwe,18,England,58,Leicester City,€260K,€5K,
B. Levis,24,Canada,58,Vancouver Whitecaps FC,€150K,€1K,NA'
A. Settembrini,25,Italy,58,Cittadella,€160K,€1K,EU'
A. Karazor,20,Germany,58,Holstein Kiel,€200K,€1K,EU'
T. Doornbusch,17,Netherlands,58,SC Heerenveen,€200K,€1K,EU'
E. Plummer,22,England,58,Motherwell,€150K,€1K,
M. Døhr Thychosen,20,Denmark,58,AC Horsens,€220K,€3K,EU'
L. Ketterer,23,United States,58,Columbus Crew SC,€120K,€1K,
K. Jameson,18,England,58,West Bromwich Albion,€160K,€4K,
W. Sarr,21,Germany,58,Rot-Weiß Erfurt,€180K,€1K,EU'
M. Brouwer,24,Netherlands,58,Heracles Almelo,€120K,€1K,EU'
C. Weston,30,England,58,Barnet,€120K,€2K,
C. Coll,25,Republic of Ireland,58,Finn Harps,€130K,€1K,
T. Lebeau,18,France,58,Chamois Niortais FC,€260K,€1K,EU'
M. Eisa,22,Sudan,58,Cheltenham Town,€190K,€2K,AF'
G. Giannoutsos,18,Greece,58,AEK Athens,€180K,€1K,EU'
A. Jawo,32,Sweden,58,Djurgårdens IF,€100K,€1K,EU'
P. Posch,23,Austria,58,FC Admira Wacker Mödling,€150K,€1K,EU'
J. O'Flynn,33,Republic of Ireland,58,Limerick FC,€80K,€1K,
R. Borges,25,India,58,,€0,€0.00,AS'
E. Calderini,29,Italy,58,Foggia,€120K,€1K,EU'
A. Akhyadov,23,Russia,58,Terek Grozny,€180K,€4K,
R. Cornwall,22,Republic of Ireland,58,Bohemian FC,€150K,€1K,
J. O'Hanlon,21,Republic of Ireland,58,St. Patrick's Athletic,€190K,€1K,
O. Zubkov,20,Ukraine,58,Shakhtar Donetsk,€210K,€1K,EU'
D. Luydens,18,Netherlands,58,Sparta Rotterdam,€240K,€1K,EU'
P. Amond,29,Republic of Ireland,58,Newport County,€130K,€2K,
A. Rufer,21,New Zealand,57,Wellington Phoenix,€150K,€1K,OC'
M. Kaït,19,Estonia,57,Fulham,€190K,€3K,EU'
K. Ishikawa,24,Japan,57,Vegalta Sendai,€100K,€1K,AS'
N. Kirby,17,England,57,Crystal Palace,€210K,€4K,
A. Sobczyk,20,Austria,57,SKN St. Pölten,€230K,€3K,EU'
A. Shubin,20,Russia,57,FC Ural,€190K,€2K,
H. Yılmaz,19,Turkey,57,Antalyaspor,€190K,€2K,AS'
G. Cuomo,19,Italy,57,Crotone,€200K,€1K,EU'
D. Brock,22,Germany,57,Sportfreunde Lotte,€140K,€1K,EU'
J. Senior,20,England,57,Luton Town,€180K,€2K,
M. Smolarczyk,23,Poland,57,Korona Kielce,€140K,€1K,EU'
Y. Maart,21,South Africa,57,Orlando Pirates,€170K,€1K,AF'
G. Shanahan,24,Republic of Ireland,57,Galway United,€140K,€1K,
J. Kenny,20,England,57,Everton,€200K,€8K,
V. Bezecourt,24,France,57,New York Red Bulls,€150K,€1K,EU'
F. Due,24,Denmark,57,Randers FC,€100K,€1K,EU'
R. Arnold,20,Switzerland,57,FC Luzern,€210K,€1K,EU'
B. Tozer,27,England,57,Newport County,€90K,€2K,
S. Sharkey,27,Republic of Ireland,57,Sligo Rovers,€100K,€1K,
O. Patrick,21,England,57,Bradford City,€170K,€2K,
A. Medina,19,Mexico,57,Deportivo Toluca,€220K,€2K,NA'
J. León,21,Mexico,57,Club América,€140K,€4K,NA'
G. Banaziak,20,France,57,Amiens SC Football,€150K,€1K,EU'
K. Moore,28,Republic of Ireland,57,Bray Wanderers,€100K,€1K,
S. Collis,36,England,57,Rochdale,€10K,€1K,
F. Schikowski,19,Poland,57,Lechia Gdańsk,€170K,€1K,EU'
N. Ritter,25,Denmark,57,SønderjyskE,€110K,€2K,EU'
A. Al Suhail,28,Saudi Arabia,57,Al Taawoun,€100K,€3K,AS'
K. Devaney,26,Republic of Ireland,57,Galway United,€120K,€1K,
D. Byrne,24,Republic of Ireland,57,Bohemian FC,€110K,€1K,
J. Kristoffersen,20,Norway,57,Djurgårdens IF,€170K,€1K,EU'
N. Das,23,India,57,,€0,€0.00,AS'
A. Okosun,23,Germany,57,AC Horsens,€140K,€2K,EU'
M. Maier,21,Austria,57,FC Admira Wacker Mödling,€180K,€1K,EU'
S. Kumagai,20,Japan,57,Ventforet Kofu,€180K,€1K,AS'
M. Nicoletti,18,Italy,57,Crotone,€190K,€1K,EU'
C. Johansson,19,Sweden,57,Kalmar FF,€180K,€1K,EU'
M. Al Baqawi,21,Saudi Arabia,57,Al Fayha,€160K,€4K,AS'
K. Akca,23,Turkey,57,Fortuna Düsseldorf,€140K,€3K,AS'
G. Edmundson,19,England,57,Oldham Athletic,€160K,€1K,
K. Fujimura,23,Japan,57,Vegalta Sendai,€140K,€1K,AS'
B. Austin,18,England,57,Tottenham Hotspur,€170K,€3K,
A. Gómez,20,Argentina,57,AIK Solna,€130K,€1K,SA'
L. Vera,20,Argentina,57,Club Atlético Lanús,€150K,€2K,SA'
T. Hashiguchi,22,Japan,57,Kashiwa Reysol,€120K,€2K,AS'
C. Wakefield,17,England,57,Chesterfield,€200K,€1K,
S. Al Ghamdi,25,Saudi Arabia,57,Al Taawoun,€100K,€2K,AS'
M. Rosenzweig,21,Germany,57,SpVgg Unterhaching,€130K,€1K,EU'
S. Stubbs,18,England,57,Crewe Alexandra,€190K,€1K,
M. Krol,19,Germany,57,Werder Bremen II,€180K,€1K,EU'
M. Ochieng,20,Australia,57,Adelaide United,€130K,€1K,OC'
U. Bapoh,18,Germany,57,VfL Bochum,€210K,€2K,EU'
